step,ssim,rmse,fid
10000,0.3634350597858429,0.2612154376973068,257.51992133298006
20000,0.3961711823940277,0.25877878420589795,247.84895825182664
30000,0.4324500262737274,0.25142018930923743,240.4193009983186
40000,0.49586352705955505,0.2302932151603529,230.2738139273308
50000,0.5569524765014648,0.2092620484445165,217.88386848347375
40000,0.4878484308719635,0.22743056334106457,221.6545977829967
50000,0.5577545166015625,0.20569598356861404,214.17627757964638
60000,0.615356981754303,0.18859939328136022,207.36964967986347
70000,0.6656158566474915,0.1711175494863996,196.93152929432716
80000,0.702763557434082,0.1586192568576506,188.73910804122713
90000,0.733505368232727,0.147872319395916,182.40202520456947
100000,0.7593031525611877,0.13925880148216782,180.11259851690838
110000,0.7803584337234497,0.13234006076025798,174.90529109297572
110000,0.7786773443222046,0.13274481394977328,176.01370134803335
120000,0.7979984283447266,0.12578563860232753,170.33071753267097
130000,0.809596061706543,0.12234456344616639,167.86439112084457
140000,0.8223494291305542,0.11746064777547856,161.72008363878004
150000,0.8331820368766785,0.11305462843583872,155.1260477135446
160000,0.8417013883590698,0.10978171817735091,151.16018160304594
170000,0.8499932885169983,0.1064729960778666,149.1664033385672
180000,0.8558262586593628,0.10423754029406442,147.21273218389257
190000,0.8621655106544495,0.10167026304635322,143.73193347135012
200000,0.8674742579460144,0.09912894833266943,144.40252196222337
200000,0.8674613237380981,0.09913464627376271,144.6156049596629
