step,ssim,rmse,fid
10000,0.37876036763191223,0.28323350940689296,279.5131628859836
20000,0.42075055837631226,0.25699029207726537,285.3954603803017
30000,0.4822673499584198,0.22527961244912673,286.1066900981302
40000,0.5256952047348022,0.20814063975707323,271.1618938954624
50000,0.5562881827354431,0.1993728303641771,263.3941323774153
50000,0.5839766263961792,0.1916512847685153,249.06709105818294
60000,0.6104227304458618,0.18398280213933002,241.62890264697046
70000,0.632354736328125,0.17761560810595828,229.91803335898166
80000,0.6537427306175232,0.170537474762447,224.27751916473343
90000,0.6707128286361694,0.1653241454765742,217.66873415792915
100000,0.6858870387077332,0.16022448714281792,206.8867515796805
110000,0.6999255418777466,0.15530640474060214,210.31483534794674
120000,0.7120577096939087,0.1513711190482204,202.41470872791533
130000,0.7233062386512756,0.1476734726564809,199.69545012010846
140000,0.7314991354942322,0.14478023450187774,198.3101801992782
150000,0.7403609156608582,0.14161071747748874,194.4909759664536
160000,0.7450819611549377,0.14056282523352082,187.84561718169996
170000,0.7535171508789062,0.13693684484985827,187.64490731288655
160000,0.7174503207206726,0.15271657171661018,193.3018333720859
170000,0.7247380018234253,0.14988200145956346,190.63616563869434
170000,0.7355372309684753,0.14912345149906175,192.30204192909198
180000,0.7414719462394714,0.1479285071451557,187.67050468004518
190000,0.7468986511230469,0.14588111636742124,184.38816941185908
200000,0.7526187896728516,0.1431386199034555,183.78100697841438
200000,0.7526187896728516,0.14313861339701722,183.77919482799834
