step,ssim,rmse,fid
10000,0.08176432884131586,0.5609623502364461,235.81995729299643
10000,0.10632852469041236,0.587477757661898,243.6683080487315
20000,0.1748504579369552,0.5858257695800013,235.20646269717656
30000,0.22553451673432237,0.5824199632988096,198.19688857897276
40000,0.2836007851487681,0.5809460193733718,178.36569074739572
40000,0.21323106127390906,0.5922879488659819,202.3000175163895
50000,0.24985109696149607,0.5881989136483162,193.65986710222575
60000,0.2551143840012219,0.5906462105469549,184.52884433950857
70000,0.2777491136404473,0.5869188863901958,172.63683135137302
80000,0.27235192634727456,0.5859871906826937,153.19562443215332
90000,0.2691997226781949,0.5871352605639865,160.890226112923
100000,0.290362963863661,0.5871302607939995,139.55661700824038
110000,0.28344154475021016,0.5840454324807398,141.55627838530611
120000,0.29526350375599014,0.5841413051044647,134.78450287423706
130000,0.3064543958511846,0.5760488346428776,134.92914287237733
140000,0.31957862824425887,0.5776769861034052,131.71689714334988
150000,0.33051964097510356,0.5714334419587876,127.08447886785825
160000,0.3505507908497429,0.5642165377881722,122.40424555771568
170000,0.3606836992237613,0.5590693443224816,113.55109784976386
180000,0.3444224874816867,0.5645563631783136,122.24552820569602
180000,0.3567155367521906,0.5636897749778248,113.25218301957662
190000,0.3363982980444159,0.5752758235315939,114.92545109283125
200000,0.3511319643789251,0.571865736255762,111.78981650033589
200000,0.35177506295518046,0.5727528395646904,113.46848919822901
